fast_days,slow_days,smoother_days,sample,start,end,trading_days,ending_value,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,average_gross_exposure,average_daily_turnover,validation_rank
20,60,4,training,2020-01-02,2024-05-31,1111,1.2753626019905044,0.05677297829984562,0.29154621145210324,0.33550704226086764,-0.4497479731826015,1.8779705984094741,0.7530718523327882,27.0
20,60,4,validation,2024-06-03,2025-05-30,249,0.8052224898166901,-0.1975861602025133,0.2744705089100935,-0.6617894959899694,-0.3386288854691347,1.9799909795683237,0.7937014245361853,27.0
20,60,5,training,2020-01-02,2024-05-31,1111,1.2523804053568708,0.05241922628475848,0.2913116570479448,0.3213964057965893,-0.4519370013705123,1.87621749718196,0.752354351868061,26.0
20,60,5,validation,2024-06-03,2025-05-30,249,0.8087605025561995,-0.19400349576168097,0.27497120675065545,-0.6439734248401265,-0.33423643062311637,1.9797470874881191,0.7936801168923661,26.0
20,60,6,training,2020-01-02,2024-05-31,1111,1.2277126771288394,0.047676899320206356,0.2911062548132528,0.3059279863247259,-0.453445201804648,1.8745385487520512,0.751650626623932,25.0
20,60,6,validation,2024-06-03,2025-05-30,249,0.812625396927703,-0.19008953538842865,0.2756082439991285,-0.6243644741068534,-0.32902094979153607,1.9800734769532966,0.7936594312757645,25.0
20,60,7,training,2020-01-02,2024-05-31,1111,1.2009100686301473,0.04243990807286324,0.29091799718011907,0.2887352473480725,-0.4546153161205163,1.8728522917123573,0.7509572972393468,23.0
20,60,7,validation,2024-06-03,2025-05-30,249,0.8169162052342374,-0.18574390232372318,0.2763495403673872,-0.602682117935194,-0.323757626796749,1.9798621104063803,0.7936378732072701,23.0
20,60,8,training,2020-01-02,2024-05-31,1111,1.1681653796511047,0.035917828776004246,0.2906852866701821,0.2671689982615055,-0.4549428056356847,1.8712109133315435,0.7502864034492767,21.0
20,60,8,validation,2024-06-03,2025-05-30,249,0.8208823707613203,-0.1817267326036186,0.27723781040271245,-0.5821977066501649,-0.3188966095392862,1.9801435112832124,0.793619549526493,21.0
20,60,9,training,2020-01-02,2024-05-31,1111,1.131545563427729,0.02845431601293069,0.29048794743953044,0.24228586622554313,-0.45724574096321646,1.8696080714267838,0.7496074394709682,19.0
20,60,9,validation,2024-06-03,2025-05-30,249,0.8246042729555411,-0.17795668263292108,0.2782390140573093,-0.5626578658824606,-0.3141127335896937,1.980110019543748,0.7936035551820201,19.0
20,60,10,training,2020-01-02,2024-05-31,1111,1.099816975734289,0.021835182874887282,0.29036336125406564,0.22004859768258136,-0.4589825062187959,1.8679559466757851,0.7489271825661227,17.0
20,60,10,validation,2024-06-03,2025-05-30,249,0.8278523705442052,-0.17466634223928712,0.27934598887112777,-0.5450856121881834,-0.30946453263275575,1.980319026625812,0.7935903854444959,17.0
20,60,11,training,2020-01-02,2024-05-31,1111,1.0672131754291663,0.014877866353915081,0.2901918102164558,0.19648383729105,-0.46044220283447945,1.8663773591111252,0.7482556609832188,15.0
20,60,11,validation,2024-06-03,2025-05-30,249,0.8306599954124565,-0.17182203527377227,0.2805251817578983,-0.5294029887577376,-0.305047250228089,1.9804263926439156,0.7935788896736793,15.0
20,60,12,training,2020-01-02,2024-05-31,1111,1.030860314485511,0.006924054897655019,0.2899641214482529,0.16929913957817544,-0.46163514271723216,1.8647297074671545,0.747602991216977,13.0
